127.0.0.1,1545,127.0.0.1,Michael-PC
127.0.0.1,1546,127.0.0.1,Michael-PC
127.0.0.1,5354,127.0.0.1,Michael-PC
127.0.0.1,5354,127.0.0.1,Michael-PC
127.0.0.1,12822,127.0.0.1,Michael-PC
127.0.0.1,12823,127.0.0.1,Michael-PC
127.0.0.1,12826,127.0.0.1,Michael-PC
127.0.0.1,12827,127.0.0.1,Michael-PC
127.0.0.1,13776,127.0.0.1,Michael-PC
127.0.0.1,13777,127.0.0.1,Michael-PC
192.168.1.9,12649,131.253.34.236,bn3sch020010538.wns.windows.com
192.168.1.9,12673,90.181.227.230,fe-prg002.nos-avg.cz
192.168.1.9,12681,77.234.41.35,sea25.ff.avast.com
192.168.1.9,12728,50.7.100.202,Host name could not be found
192.168.1.9,12741,65.52.108.188,msnbot-65-52-108-188.search.msn.com
192.168.1.9,12751,74.125.129.188,jm-in-f188.1e100.net
192.168.1.9,12811,162.125.3.3,Host name could not be found
192.168.1.9,12829,162.125.3.7,Host name could not be found
192.168.1.9,16360,77.234.41.253,r-253-41-234-77.ff.avast.com
192.168.1.9,16400,162.125.18.133,Host name could not be found
192.168.1.9,16959,54.175.64.133,ec2-54-175-64-133.compute-1.amazonaws.com
192.168.1.9,17202,162.125.18.133,Host name could not be found
192.168.1.9,18395,151.101.20.166,Host name could not be found
192.168.1.9,18425,146.20.132.107,Host name could not be found
192.168.1.9,18528,157.55.235.165,Host name could not be found
192.168.1.9,18592,216.58.192.226,ord30s26-in-f226.1e100.net
192.168.1.9,18606,107.178.251.91,91.251.178.107.bc.googleusercontent.com
192.168.1.9,18619,199.187.193.140,Host name could not be found
192.168.1.9,18638,172.217.4.238,ord30s31-in-f14.1e100.net
192.168.1.9,18648,130.211.34.235,235.34.211.130.bc.googleusercontent.com
192.168.1.9,18657,146.20.129.29,Host name could not be found
192.168.1.9,18666,35.186.248.13,13.248.186.35.bc.googleusercontent.com
192.168.1.9,18675,146.20.132.250,Host name could not be found
192.168.1.9,18677,162.125.32.5,Host name could not be found
192.168.1.9,18679,54.83.186.170,ec2-54-83-186-170.compute-1.amazonaws.com
192.168.1.9,18681,35.160.183.130,ec2-35-160-183-130.us-west-2.compute.amazonaws.com
192.168.1.9,18682,23.202.194.102,a23-202-194-102.deploy.static.akamaitechnologies.com
192.168.1.9,18683,23.35.211.150,a23-35-211-150.deploy.static.akamaitechnologies.com
192.168.1.9,18688,162.125.3.3,Host name could not be found
192.168.1.9,18699,23.35.211.150,a23-35-211-150.deploy.static.akamaitechnologies.com
192.168.1.9,18700,104.98.66.217,a104-98-66-217.deploy.static.akamaitechnologies.com
192.168.1.9,18702,52.45.235.55,ec2-52-45-235-55.compute-1.amazonaws.com
192.168.1.9,18705,52.73.147.16,ec2-52-73-147-16.compute-1.amazonaws.com
192.168.1.9,18707,52.55.37.67,ec2-52-55-37-67.compute-1.amazonaws.com
192.168.1.9,18708,146.20.128.233,Host name could not be found
192.168.1.9,18713,104.196.189.120,120.189.196.104.bc.googleusercontent.com
192.168.1.9,18714,52.73.147.16,ec2-52-73-147-16.compute-1.amazonaws.com
192.168.1.9,18717,169.45.108.35,23.6c.2da9.ip4.static.sl-reverse.com
192.168.1.9,18721,52.73.147.16,ec2-52-73-147-16.compute-1.amazonaws.com
192.168.1.9,18722,54.210.118.128,ec2-54-210-118-128.compute-1.amazonaws.com
192.168.1.9,18723,23.227.138.208,Host name could not be found
192.168.1.9,18730,198.147.29.195,Host name could not be found
192.168.1.9,18731,146.20.132.150,Host name could not be found
192.168.1.9,18733,149.56.241.121,ads83-us-east.stickyadstv.com
192.168.1.9,18739,149.56.241.121,ads83-us-east.stickyadstv.com
192.168.1.9,18742,209.205.216.202,Host name could not be found
